Longitude,Latitude,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Title,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,imagefile,filepath
-73.95300409,40.79228962,36I-PM-1007-10,36I,PM,10072018,10,Juvenile,Gray,White,Gray+White-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,stole (found?) an entire sandwich,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9530040923555 40.7922896176936),sq_graymajestic.jpeg,images/sq_classic.jpeg
-73.95302574,40.79513974,39G-PM-1013-01,39G,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9530257401736 40.79513974073701),sq_heybaby.jpeg,images/sq_yep.jpeg
-73.95302636,40.79209498,36I-PM-1007-05,36I,PM,10072018,5,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9530263552489 40.7920949788358),sq_hihoney.jpeg,images/sq_hihoney.jpeg
-73.95303266,40.79569224,39G-PM-1013-02,39G,PM,10132018,2,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9530326577312 40.795692238639504),sq_hmmmf.jpeg,images/sq_hmmmf.jpeg
-73.95305356,40.79298091,37I-AM-1010-02,37I,AM,10102018,2,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9530535624781 40.7929809144271),sq_intreewinter.jpeg,images/sq_yep.jpeg
-73.95305878,40.79190873,36I-PM-1007-03,36I,PM,10072018,3,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9530587825442 40.7919087309222),sq_isthistheparty.jpeg,images/sq_isthistheparty.jpeg
-73.95307396,40.79320344,37H-PM-1006-01,37H,PM,10062018,1,Juvenile,Gray,White,Gray+White-  from voice,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,from voice,POINT (-73.95307395621312 40.7932034409546),sq_justsnackin.jpeg,images/sq_tailtime.jpeg
-73.95307916,40.79598856,40G-PM-1013-03,40G,PM,10132018,3,Juvenile,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9530791622513 40.7959885603967),sq_littlebeauty.jpeg,images/sq_littlebeauty.jpeg
-73.95308097,40.79591763,40G-PM-1013-02,40G,PM,10132018,2,Adult,Gray,,Gray+-  runs from (dog),,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,hiding from dog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,runs from (dog),POINT (-73.9530809650496 40.79591763177051),sq_notpleased.jpeg,images/sq_tailtime.jpeg
-73.95308113,40.79830691,42F-AM-1019-02,42F,AM,10192018,2,Adult,Gray,White,Gray+White-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9530811255728 40.79830691185791),sq_readyformycloseup.jpeg,images/sq_readyformycloseup.jpeg
-73.95309205,40.79822569,42F-PM-1017-03,42F,PM,10172018,3,,Gray,Cinnamon,Gray+Cinnamon-  ,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.953092053256 40.7982256930243),sq_ruddywarm.jpeg,images/sq_hmmmf.jpeg
-73.95310134,40.79212236,36I-PM-1007-04,36I,PM,10072018,4,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9531013359625 40.7921223556535),sq_snowtime.jpeg,images/sq_snowtime.jpeg
-73.95310419,40.79199168,36I-PM-1007-02,36I,PM,10072018,2,Adult,Gray,,Gray+-  chased birds (blue jay),,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,chased birds (blue jay),POINT (-73.9531041906469 40.7919916819219),sq_strollin.jpeg,images/sq_hihoney.jpeg
-73.95312337,40.79411138,38H-PM-1012-01,38H,PM,10122018,1,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.953123365424 40.7941113777459),sq_tailtime.jpeg,images/sq_tailtime.jpeg
